,timepoints,X0,Y0,U0,Zx0,Zy0,X1,Y1,U1,Zx1,Zy1,X2,Y2,U2,Zx2,Zy2,X3,Y3,U3,Zx3,Zy3,X4,Y4,U4,Zx4,Zy4,X5,Y5,U5,Zx5,Zy5,X6,Y6,U6,Zx6,Zy6,X7,Y7,U7,Zx7,Zy7,X8,Y8,U8,Zx8,Zy8,X9,Y9,U9,Zx9,Zy9,X10,Y10,U10,Zx10,Zy10,X11,Y11,U11,Zx11,Zy11,X12,Y12,U12,Zx12,Zy12,X13,Y13,U13,Zx13,Zy13,X14,Y14,U14,Zx14,Zy14
0,0.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0,40.0,40.0,0.0,10.0,10.0
1,0.501002004008016,32.0,35.0,13.0,10.0,10.0,33.0,35.0,12.0,10.0,10.0,34.0,35.0,11.0,10.0,10.0,29.0,36.0,15.0,10.0,10.0,34.0,25.0,21.0,10.0,10.0,36.0,31.0,13.0,10.0,10.0,35.0,37.0,8.0,10.0,10.0,36.0,31.0,13.0,10.0,10.0,40.0,28.0,12.0,10.0,10.0,30.0,35.0,15.0,10.0,10.0,35.0,35.0,10.0,10.0,10.0,32.0,35.0,13.0,10.0,10.0,32.0,35.0,13.0,10.0,10.0,32.0,39.0,9.0,10.0,10.0,32.0,32.0,16.0,10.0,10.0
2,1.002004008016032,28.0,31.0,21.0,10.0,10.0,28.0,31.0,21.0,10.0,10.0,31.0,34.0,15.0,10.0,10.0,22.0,39.0,19.0,10.0,10.0,29.0,21.0,30.0,10.0,10.0,29.0,31.0,20.0,10.0,10.0,33.0,26.0,21.0,10.0,10.0,33.0,30.0,17.0,10.0,10.0,35.0,21.0,24.0,10.0,10.0,24.0,30.0,26.0,10.0,10.0,29.0,32.0,19.0,10.0,10.0,30.0,31.0,19.0,10.0,10.0,32.0,31.0,17.0,10.0,10.0,28.0,36.0,16.0,10.0,10.0,25.0,30.0,25.0,10.0,10.0
3,1.503006012024048,29.0,30.0,21.0,10.0,10.0,27.0,27.0,26.0,10.0,10.0,29.0,31.0,20.0,10.0,10.0,17.0,39.0,24.0,10.0,10.0,33.0,22.0,25.0,10.0,10.0,22.0,27.0,31.0,10.0,10.0,34.0,24.0,22.0,10.0,10.0,29.0,26.0,25.0,10.0,10.0,37.0,18.0,25.0,10.0,10.0,21.0,25.0,34.0,10.0,10.0,22.0,38.0,20.0,10.0,10.0,25.0,25.0,30.0,10.0,10.0,34.0,25.0,21.0,10.0,10.0,26.0,29.0,25.0,10.0,10.0,18.0,29.0,33.0,10.0,10.0
4,2.004008016032064,26.0,27.0,27.0,10.0,10.0,27.0,23.0,30.0,10.0,10.0,26.0,28.0,26.0,10.0,10.0,15.0,40.0,25.0,10.0,10.0,40.0,19.0,21.0,10.0,10.0,21.0,33.0,26.0,10.0,10.0,37.0,20.0,23.0,10.0,10.0,26.0,23.0,31.0,10.0,10.0,32.0,18.0,30.0,10.0,10.0,22.0,20.0,38.0,10.0,10.0,20.0,39.0,21.0,10.0,10.0,21.0,29.0,30.0,10.0,10.0,33.0,27.0,20.0,10.0,10.0,26.0,29.0,25.0,10.0,10.0,21.0,32.0,27.0,10.0,10.0
5,2.5050100200400798,26.0,26.0,28.0,10.0,10.0,24.0,27.0,29.0,10.0,10.0,27.0,26.0,27.0,10.0,10.0,18.0,41.0,21.0,10.0,10.0,32.0,20.0,28.0,10.0,10.0,12.0,43.0,25.0,10.0,10.0,36.0,16.0,28.0,10.0,10.0,30.0,26.0,24.0,10.0,10.0,31.0,16.0,33.0,10.0,10.0,20.0,26.0,34.0,10.0,10.0,19.0,34.0,27.0,10.0,10.0,21.0,26.0,33.0,10.0,10.0,29.0,24.0,27.0,10.0,10.0,26.0,28.0,26.0,10.0,10.0,19.0,36.0,25.0,10.0,10.0
6,3.006012024048096,26.0,31.0,23.0,10.0,10.0,26.0,26.0,28.0,10.0,10.0,29.0,25.0,26.0,10.0,10.0,15.0,44.0,21.0,10.0,10.0,29.0,20.0,31.0,10.0,10.0,10.0,43.0,27.0,10.0,10.0,38.0,15.0,27.0,10.0,10.0,25.0,26.0,29.0,10.0,10.0,35.0,14.0,31.0,10.0,10.0,18.0,31.0,31.0,10.0,10.0,21.0,41.0,18.0,10.0,10.0,22.0,28.0,30.0,10.0,10.0,24.0,25.0,31.0,10.0,10.0,29.0,25.0,26.0,10.0,10.0,18.0,40.0,22.0,10.0,10.0
7,3.507014028056112,28.0,32.0,20.0,10.0,10.0,29.0,26.0,25.0,10.0,10.0,28.0,28.0,24.0,10.0,10.0,9.0,45.0,26.0,10.0,10.0,33.0,17.0,30.0,10.0,10.0,11.0,48.0,21.0,10.0,10.0,43.0,14.0,23.0,10.0,10.0,25.0,24.0,31.0,10.0,10.0,47.0,13.0,20.0,10.0,10.0,23.0,30.0,27.0,10.0,10.0,14.0,44.0,22.0,10.0,10.0,18.0,32.0,30.0,10.0,10.0,24.0,23.0,33.0,10.0,10.0,33.0,23.0,24.0,10.0,10.0,16.0,44.0,20.0,10.0,10.0
8,4.008016032064128,26.0,31.0,23.0,10.0,10.0,31.0,25.0,24.0,10.0,10.0,29.0,26.0,25.0,10.0,10.0,6.0,42.0,32.0,10.0,10.0,31.0,17.0,32.0,10.0,10.0,11.0,52.0,17.0,10.0,10.0,43.0,13.0,24.0,10.0,10.0,31.0,23.0,26.0,10.0,10.0,44.0,12.0,24.0,10.0,10.0,24.0,31.0,25.0,10.0,10.0,10.0,45.0,25.0,10.0,10.0,19.0,33.0,28.0,10.0,10.0,30.0,19.0,31.0,10.0,10.0,29.0,24.0,27.0,10.0,10.0,10.0,42.0,28.0,10.0,10.0
9,4.509018036072144,22.0,34.0,24.0,10.0,10.0,29.0,26.0,25.0,10.0,10.0,25.0,26.0,29.0,10.0,10.0,8.0,46.0,26.0,10.0,10.0,34.0,15.0,31.0,10.0,10.0,8.0,53.0,19.0,10.0,10.0,43.0,10.0,27.0,10.0,10.0,30.0,20.0,30.0,10.0,10.0,50.0,12.0,18.0,10.0,10.0,24.0,28.0,28.0,10.0,10.0,10.0,42.0,28.0,10.0,10.0,21.0,37.0,22.0,10.0,10.0,28.0,20.0,32.0,10.0,10.0,31.0,22.0,27.0,10.0,10.0,11.0,45.0,24.0,10.0,10.0
