step time x y u
0 0.0 35 35 0
1 0.05 35 34 1
2 0.1 34 34 2
4 0.15000000000000002 34 32 4
4 0.2 34 32 4
7 0.25 34 33 3
9 0.3 34 31 5
12 0.35 32 30 8
12 0.39999999999999997 32 30 8
14 0.44999999999999996 32 30 8
15 0.49999999999999994 31 30 9
16 0.5499999999999999 32 30 8
18 0.6 31 29 10
20 0.65 31 31 8
23 0.7000000000000001 31 30 9
24 0.7500000000000001 30 30 10
26 0.8000000000000002 30 30 10
28 0.8500000000000002 29 29 12
29 0.9000000000000002 29 28 13
30 0.9500000000000003 30 28 12
31 1.0000000000000002 31 28 11
32 1.0500000000000003 31 27 12
33 1.1000000000000003 31 26 13
36 1.1500000000000004 30 26 14
37 1.2000000000000004 30 27 13
38 1.2500000000000004 30 28 12
41 1.3000000000000005 31 28 11
41 1.3500000000000005 31 28 11
44 1.4000000000000006 30 28 12
45 1.4500000000000006 29 28 13
48 1.5000000000000007 30 28 12
49 1.5500000000000007 30 27 13
50 1.6000000000000008 30 26 14
51 1.6500000000000008 31 26 13
54 1.7000000000000008 28 26 16
54 1.7500000000000009 28 26 16
57 1.800000000000001 27 26 17
58 1.850000000000001 27 25 18
62 1.900000000000001 25 25 20
64 1.950000000000001 24 26 20
65 2.000000000000001 25 26 19
68 2.0500000000000007 24 28 18
69 2.1000000000000005 25 28 17
71 2.1500000000000004 23 28 19
75 2.2 21 28 21
76 2.25 22 28 20
78 2.3 22 28 20
79 2.3499999999999996 22 27 21
81 2.3999999999999995 23 28 19
83 2.4499999999999993 23 30 17
84 2.499999999999999 23 29 18
85 2.549999999999999 23 30 17
85 2.5999999999999988 23 30 17
88 2.6499999999999986 21 31 18
89 2.6999999999999984 21 30 19
90 2.7499999999999982 21 29 20
91 2.799999999999998 21 30 19
92 2.849999999999998 20 30 20
97 2.8999999999999977 19 34 17
98 2.9499999999999975 18 34 18
100 2.9999999999999973 18 34 18
103 3.049999999999997 18 33 19
108 3.099999999999997 19 31 20
108 3.149999999999997 19 31 20
108 3.1999999999999966 19 31 20
109 3.2499999999999964 19 30 21
109 3.2999999999999963 19 30 21
113 3.349999999999996 17 30 23
116 3.399999999999996 14 30 26
117 3.4499999999999957 15 30 25
118 3.4999999999999956 15 31 24
119 3.5499999999999954 15 30 25
120 3.599999999999995 16 30 24
123 3.649999999999995 15 30 25
125 3.699999999999995 15 30 25
127 3.7499999999999947 14 31 25
131 3.7999999999999945 15 32 23
135 3.8499999999999943 15 32 23
138 3.899999999999994 16 34 20
141 3.949999999999994 17 36 17
143 3.999999999999994 16 35 19
148 4.049999999999994 15 33 22
149 4.099999999999993 15 32 23
149 4.149999999999993 15 32 23
150 4.199999999999993 14 32 24
154 4.249999999999993 17 33 20
155 4.299999999999993 16 33 21
157 4.3499999999999925 15 34 21
160 4.399999999999992 14 36 20
164 4.449999999999992 15 35 20
167 4.499999999999992 16 33 21
170 4.549999999999992 15 35 20
171 4.599999999999992 15 36 19
173 4.6499999999999915 15 36 19
